2025-07-24 00:02:42.579 [http-nio-8080-exec-9] WARN  [76b715b9] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [76b715b9] GET /api/reviews/product/12 responded 404 in 3 ms
2025-07-24 00:02:42.582 [http-nio-8080-exec-6] INFO  [5dce1dec] com.lulu.logging.AuditLoggingFilter - RESPONSE [5dce1dec] GET /api/products responded 200 in 22 ms
2025-07-24 00:02:42.597 [http-nio-8080-exec-2] INFO  [90f97ce2] com.lulu.logging.AuditLoggingFilter - REQUEST [90f97ce2] GET /api/reviews/product/12
2025-07-24 00:02:42.599 [http-nio-8080-exec-2] WARN  [90f97ce2] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [90f97ce2] GET /api/reviews/product/12 responded 404 in 2 ms
2025-07-24 00:02:57.047 [http-nio-8080-exec-4] INFO  [792bcc10] com.lulu.logging.AuditLoggingFilter - REQUEST [792bcc10] GET /api/products/2
2025-07-24 00:02:57.047 [http-nio-8080-exec-4] INFO  [792bcc10] AUDIT - AUDIT_REQUEST [792bcc10] GET /api/products/2 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:57.052 [http-nio-8080-exec-4] INFO  [792bcc10] com.lulu.logging.AuditLoggingFilter - RESPONSE [792bcc10] GET /api/products/2 responded 200 in 5 ms
2025-07-24 00:02:57.052 [http-nio-8080-exec-4] INFO  [792bcc10] AUDIT - AUDIT_RESPONSE [792bcc10] GET /api/products/2 | Status: 200 | Duration: 5 ms
2025-07-24 00:02:57.056 [http-nio-8080-exec-1] INFO  [f749a0bf] com.lulu.logging.AuditLoggingFilter - REQUEST [f749a0bf] GET /api/reviews/product/2
2025-07-24 00:02:57.058 [http-nio-8080-exec-1] WARN  [f749a0bf] com.lulu.logging.AuditLoggingFilter - ERROR_RESPONSE [f749a0bf] GET /api/reviews/product/2 responded 404 in 2 ms
2025-07-24 00:02:57.998 [http-nio-8080-exec-9] INFO  [dc139645] com.lulu.logging.AuditLoggingFilter - REQUEST [dc139645] GET /api/products/6
2025-07-24 00:02:57.998 [http-nio-8080-exec-9] INFO  [dc139645] AUDIT - AUDIT_REQUEST [dc139645] GET /api/products/6 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
